dir,iot,ext,sport,dport,sizeBin,label
1,172.16.5.3,172.16.7.12,6.34500,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40898,6.22,M,login
1,172.16.4.4,172.16.1.9,6.49768,6.22,M,login
1,172.16.6.4,172.16.4.13,6.39156,6.22,M,login
1,172.16.7.5,192.168.1.6,6.59506,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39170,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34696,6.22,M,login
1,172.16.5.8,172.16.7.10,6.54276,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58572,6.22,M,login
1,172.16.7.5,192.168.1.6,6.59648,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36696,6.22,M,login
1,172.16.2.3,172.16.7.10,6.42014,6.22,M,login
1,172.16.3.6,172.16.4.8,6.60602,6.22,M,login
1,172.16.3.6,172.16.4.8,6.60428,6.22,M,login
1,172.16.5.8,172.16.7.10,6.55346,6.22,M,login
1,172.16.3.6,172.16.5.12,6.34482,6.22,M,login
1,172.16.1.11,172.16.4.7,6.37662,6.22,M,login
1,172.16.1.12,192.168.1.6,6.59092,6.22,M,login
1,172.16.3.6,172.16.4.8,6.60442,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59228,6.22,M,login
1,172.16.1.12,172.16.5.4,6.48276,6.22,M,login
1,172.16.4.4,172.16.2.3,6.59454,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51390,6.22,M,login
1,172.16.1.12,172.16.4.10,6.57544,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44842,6.22,M,login
1,172.16.1.8,172.16.6.12,6.49698,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50074,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36454,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37516,6.22,M,login
1,172.16.2.13,172.16.4.10,6.57620,6.22,M,login
1,172.16.7.4,172.16.5.11,6.57730,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36814,6.22,M,login
1,172.16.5.3,172.16.2.6,6.53546,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44566,6.22,M,login
1,172.16.2.8,172.16.4.10,6.47234,6.22,M,login
1,172.16.5.9,172.16.6.12,6.57470,6.22,M,login
1,172.16.6.4,172.16.5.13,6.38610,6.22,M,login
1,172.16.7.5,192.168.1.6,6.33562,6.22,M,login
1,172.16.3.4,192.168.1.41,6.58516,6.22,M,login
1,172.16.6.8,172.16.1.9,6.50716,6.22,M,login
1,172.16.1.8,172.16.5.10,6.39750,6.22,M,login
1,172.16.7.5,192.168.1.6,6.60270,6.22,M,login
1,172.16.1.3,172.16.7.12,6.55288,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36416,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44828,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34328,6.22,M,login
1,172.16.1.8,172.16.6.12,6.49560,6.22,M,login
1,172.16.5.8,172.16.7.10,6.55442,6.22,M,login
1,172.16.4.4,172.16.1.9,6.50302,6.22,M,login
1,172.16.6.13,172.16.5.10,6.38730,6.22,M,login
1,172.16.2.3,172.16.4.13,6.43852,6.22,M,login
1,172.16.4.14,172.16.1.9,6.37994,6.22,M,login
1,172.16.5.6,172.16.6.14,6.51614,6.22,M,login
1,172.16.6.13,192.168.1.41,6.38892,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54760,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36358,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36480,6.22,M,login
1,172.16.3.12,172.16.5.10,6.35122,6.22,M,login
1,172.16.7.6,192.168.1.6,6.38638,6.22,M,login
1,172.16.2.12,172.16.6.10,6.40866,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39266,6.22,M,login
1,172.16.1.8,192.168.1.6,6.41684,6.22,M,login
1,172.16.3.10,172.16.6.10,6.58664,6.22,M,login
1,172.16.2.8,172.16.4.10,6.47080,6.22,M,login
1,172.16.1.12,172.16.2.6,6.36188,6.22,M,login
1,172.16.1.8,172.16.2.6,6.50600,6.22,M,login
1,172.16.6.9,172.16.1.9,6.43986,6.22,M,login
1,172.16.2.14,172.16.7.13,6.51554,6.22,M,login
1,172.16.1.8,192.168.1.6,6.39756,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52292,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52160,6.22,M,login
1,172.16.2.12,172.16.1.9,6.37398,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36916,6.22,M,login
1,172.16.4.9,172.16.7.9,6.60832,6.22,M,login
